Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;;;;;;;;;;;
TP.nlogo;;;;;;;;;;;;;;;;;;;;
default;;;;;;;;;;;;;;;;;;;;
10/22/2023 22:24:53:774 +0100;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;
0;32;0;32;;;;;;;;;;;;;;;;;
[run number];energia_castanha;Numero_Hipopotamos;Numero_Catos;Modelo;descanso_duracao;energia_animais;Energia_perdida_combate;MostraEnergia;Numero_Oasis;Celula_Azul;energia_vermelho;Grande_Porte;Pequeno_Porte;Numero_Leoes;Numero_Hienas;[step];count hienas;tickhienas;count leoes;tickleoes
2;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;15;0;0;1000
6;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
11;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;22;0;0;1000
1;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;21;0;0;1000
8;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;15;0;0;1000
13;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;8;0;0;1000
10;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
15;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
3;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
14;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
4;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
5;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;9;0;0;1000
16;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;15;0;0;1000
9;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;20;0;0;1000
17;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;15;0;0;1000
20;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
19;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
7;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;20;0;0;1000
12;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
22;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
18;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;25;0;0;1000
23;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
25;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
27;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;15;0;0;1000
26;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;7;0;0;1000
21;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;15;0;0;1000
28;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
24;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;9;0;0;1000
33;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;8;0;0;1000
29;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
32;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
35;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
39;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
31;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
36;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
41;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;18;0;0;1000
43;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;16;0;0;1000
37;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
30;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;19;0;0;1000
34;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;18;0;0;1000
42;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
44;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
45;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;8;0;0;1000
38;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
48;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
49;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
40;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
55;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
54;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
46;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;8;0;0;1000
47;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
50;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;5;0;0;1000
53;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
51;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;6;0;0;1000
57;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
60;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
58;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;23;0;0;1000
52;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
61;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
56;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
63;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
67;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
69;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
65;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
59;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;22;0;0;1000
71;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
68;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;25;0;0;1000
62;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
64;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;8;0;0;1000
66;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
74;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;8;0;0;1000
75;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;19;0;0;1000
78;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
73;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
79;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
70;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
72;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
83;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
84;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
87;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;9;0;0;1000
76;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
80;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
85;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
77;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
86;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;9;0;0;1000
82;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
91;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;10;0;0;1000
81;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
92;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
90;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
89;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;12;0;0;1000
95;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;13;0;0;1000
88;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;23;0;0;1000
99;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
97;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
100;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;8;0;0;1000
94;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;17;0;0;1000
98;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;14;0;0;1000
93;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;11;0;0;1000
96;10;3;15;Modelo_Base;2;50;0.2;true;3;2;10;2;4;110;60;1000;16;0;0;1000
;;;;;;;;;;;;;;;;;13,22;0;0;1000
