Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;;;;;;;;;;;
TP.nlogo;;;;;;;;;;;;;;;;;;;;
experiment9;;;;;;;;;;;;;;;;;;;;
10/22/2023 20:31:34:771 +0100;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;
0;32;0;32;;;;;;;;;;;;;;;;;
[run number];energia_castanha;Numero_Hipopotamos;Numero_Catos;Modelo;descanso_duracao;energia_animais;Energia_perdida_combate;MostraEnergia;Numero_Oasis;Celula_Azul;energia_vermelho;Grande_Porte;Pequeno_Porte;Numero_Leoes;Numero_Hienas;[step];count hienas;tickhienas;count leoes;tickleoes
10;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;39;0
12;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;37;0
2;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;44;0
1;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;53;0
3;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;44;0
9;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;29;0
14;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;43;0
11;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;38;0
4;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;36;0
15;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;40;0
13;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;49;0
5;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;45;0
16;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;56;0
6;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;42;0
8;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;41;0
19;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;38;0
7;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;44;0
22;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;41;0
25;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;40;0
17;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;31;0
18;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;39;0
21;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;42;0
23;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;64;0
20;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;1;0;48;0
28;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;47;0
24;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;40;0
30;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;46;0
31;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;34;0
26;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;39;0
27;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;38;0
34;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;52;0
37;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;63;0
35;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;39;0
39;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;40;0
33;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;49;0
32;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;46;0
38;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;45;0
29;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;48;0
36;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;37;0
40;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;33;0
44;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;44;0
42;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;36;0
41;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;40;0
45;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;30;0
43;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;45;0
46;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;44;0
47;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;30;0
48;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;33;0
49;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;37;0
52;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;48;0
53;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;46;0
51;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;47;0
56;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;30;0
50;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;46;0
57;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;59;0
58;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;49;0
54;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;44;0
62;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;31;0
55;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;50;0
63;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;47;0
59;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;50;0
60;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;48;0
65;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;43;0
61;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;48;0
68;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;34;0
64;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;44;0
67;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;54;0
66;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;49;0
72;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;32;0
70;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;54;0
69;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;42;0
74;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;32;0
73;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;55;0
71;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;51;0
77;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;45;0
78;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;34;0
75;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;53;0
76;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;23;0
79;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;43;0
80;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;42;0
81;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;47;0
84;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;40;0
83;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;46;0
82;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;48;0
86;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;42;0
85;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;56;0
87;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;53;0
89;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;50;0
88;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;37;0
90;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;60;0
91;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;46;0
93;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;27;0
92;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;45;0
94;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;48;0
95;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;37;0
98;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;33;0
97;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;40;0
96;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;45;0
99;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;55;0
100;40;3;15;Modelo_Melhorado;5;300;0.5;true;3;3;40;5;20;120;25;1000;0;1000;42;0
;;;;;;;;;;;;;;;;;0,01;990;43,28;0
